2020-08-01 00:04:35	70	SP8224
2020-08-01 00:07:55	69	MS6174
2020-08-01 00:12:55	84	PS9669
2020-08-01 00:16:18	60	PQ7455
2020-08-01 00:18:33	68	PQ0224
2020-08-01 00:19:36	71	PN8044
2020-08-01 00:22:00	83	QN5754
2020-08-01 00:23:17	59	SM1718
2020-08-01 00:25:47	92	QS9109
2020-08-01 00:30:15	75	SO9239
2020-08-01 00:32:56	58	OR5805
2020-08-01 00:33:50	68	PR8210
2020-08-02 00:35:38	64	RM7821
2020-08-02 00:04:35	70	SP8224
2020-08-02 00:07:55	93	MS6174
2020-08-02 00:12:55	69	PS9669
2020-08-02 00:16:18	60	PQ7455
2020-08-03 00:18:33	68	PQ0224
2020-08-03 00:19:36	71	PN8044
2020-08-03 00:22:00	59	QN5754
2020-08-03 00:23:17	59	SM1718
2020-08-29 00:25:47	67	QS9109
2020-08-29 00:30:15	83	SO9239
2020-08-30 00:32:56	58	OR5805
2020-08-31 00:33:50	92	PR8210
2020-08-31 00:35:38	64	RM7821
